RID,PAGE_DISPLAY_1,PAGE_SUBMIT_1,PAGE_DISPLAY_2,PAGE_SUBMIT_2,PAGE_DISPLAY_3,PAGE_SUBMIT_3,PAGE_DISPLAY_4,PAGE_SUBMIT_4,PAGE_DISPLAY_5,PAGE_SUBMIT_5,PAGE_DISPLAY_6,PAGE_SUBMIT_6,PAGE_DISPLAY_7,PAGE_SUBMIT_7,PAGE_DISPLAY_8,PAGE_SUBMIT_8,PAGE_DISPLAY_9,PAGE_SUBMIT_9,PAGE_DISPLAY_10,PAGE_SUBMIT_10,PAGE_DISPLAY_11,PAGE_SUBMIT_11,PAGE_DISPLAY_12,PAGE_SUBMIT_12,PAGE_DISPLAY_13,PAGE_SUBMIT_13,PAGE_DISPLAY_14,PAGE_SUBMIT_14,PAGE_DISPLAY_15,PAGE_SUBMIT_15,PAGE_DISPLAY_16,PAGE_SUBMIT_16,PAGE_DISPLAY_17,PAGE_SUBMIT_17,PAGE_DISPLAY_18,PAGE_SUBMIT_18,PAGE_DISPLAY_19,PAGE_SUBMIT_19,PAGE_DISPLAY_20,PAGE_SUBMIT_20,PAGE_DISPLAY_21,PAGE_SUBMIT_21,PAGE_DISPLAY_22,PAGE_SUBMIT_22,PAGE_DISPLAY_23,PAGE_SUBMIT_23,PAGE_DISPLAY_24,PAGE_SUBMIT_24
112,0.261351108551025,18.401673078537,18.4044880867004,23.8584370613098,23.8596229553223,36.8700549602509,36.8711199760437,73.3212909698486,73.3234009742737,85.6926350593567,85.6942689418793,100.617970943451,100.619354963303,113.039457082748,113.040902137756,128.851102113724,128.852157115936,151.178337097168,151.179332017899,192.351667165756,192.352705001831,244.939304113388,244.943065166473,277.075893163681,277.079471111298,300.71333694458,300.716946125031,316.195423126221,316.19921207428,334.124001026154,334.127954959869,357.233674049377,357.239208936691,367.848201036453,,367.865895032883,367.876058101654,412.987818956375,412.989422082901,433.463703155518,433.465463161469,501.249861001968,501.251366138458,540.936764955521,540.937952041626,544.428514957428,,
125,0.831901788711548,6.93482995033264,6.93757486343384,13.7115468978882,13.7128849029541,48.7235369682312,48.7246589660645,55.2905588150024,55.2917938232422,70.1057457923889,70.1074359416962,108.005548000336,108.007073879242,135.0545399189,180.567965984344,188.161917924881,188.163001775742,190.544976949692,190.546425819397,197.535075902939,197.536064863205,199.666758775711,199.670508861542,238.493634939194,238.497569799423,251.44615483284,251.44997382164,254.737375974655,254.740879774094,262.546924829483,262.550812005997,273.576828956604,273.582469940186,287.951306819916,287.961595773697,298.274529933929,298.281409978867,349.709450960159,349.711002826691,369.466981887817,369.468834877014,406.733660936356,416.907958984375,438.615727901459,438.617023944855,441.000633955002,,
167,0.15057897567749,5.60541701316833,5.60816693305969,11.7698059082031,11.7711119651794,34.5720880031586,34.573184967041,39.5556700229645,39.5580990314484,43.9464020729065,43.9480240345001,54.374016046524,54.3755099773407,63.041759967804,63.0431480407715,70.929083108902,70.9300599098206,80.5472979545593,80.5483379364014,84.9838900566101,84.9848840236664,114.484287977219,114.488692998886,125.615654945374,125.619210004807,138.209404945374,138.213038921356,155.725347042084,155.728910923004,161.934159040451,161.938290119171,173.301278114319,173.307147979736,179.529891967773,,179.542731046677,179.549153089523,228.664880990982,228.667107105255,237.354343891144,237.356189966202,262.827012062073,268.163588047028,283.306109905243,283.307311058044,285.539405107498,,
101,0.16088604927063,17.8160240650177,17.8187189102173,27.5017869472504,27.5034019947052,45.2348649501801,45.23597407341,126.241286039352,126.242692947388,136.647938013077,136.649528980255,168.961746931076,168.96314907074,186.448277950287,186.44965004921,214.155030965805,214.155961990356,239.00159406662,239.002701997757,319.610166072845,319.611496925354,393.075403928757,393.078913927078,405.310612916946,405.315248012543,415.076148033142,415.079721927643,434.418620109558,434.422214031219,443.311538934708,443.316406965256,466.236371040344,466.242010116577,483.960859060287,483.97167801857,523.202209949493,523.209331989288,571.528834104538,571.530710935593,580.353960037231,580.355709075928,655.981524944305,655.983078956604,671.798097133636,671.799689054489,677.237818002701,,
209,0.153892993927002,7.43609499931335,7.4386420249939,13.8420939445496,13.8434498310089,22.9557738304138,22.9568178653717,24.7209808826447,24.7222969532013,30.6854338645935,30.6869649887085,54.3864150047302,54.3878598213196,61.2229590415955,61.2243499755859,65.5475130081177,65.5484299659729,68.1125519275665,68.1135809421539,70.2603409290314,70.2613470554352,74.0683698654175,74.0720899105072,82.8588378429413,82.862468957901,91.6690468788147,91.6727080345154,100.203747034073,100.207205057144,105.839761972427,105.843827962875,115.406435966492,115.412400007248,119.002501964569,,119.015225887299,119.020942926407,128.229295969009,128.230846881866,137.115421056747,137.117149829865,155.870687961578,162.801513910294,169.610596895218,169.611855983734,171.85674905777,,
152,0.187302827835083,9.18300700187683,9.18577194213867,13.5183808803558,13.5196619033813,27.3845658302307,27.3858230113983,61.16264295578,61.1638998985291,67.0728049278259,67.0743618011475,78.5155730247498,78.5169739723206,90.5306799411774,90.5320060253143,96.5388858318329,96.5399179458618,119.950141906738,119.951121807098,143.739753007889,143.740815877914,157.948329925537,157.95197892189,177.113776922226,177.117192983627,197.228134870529,197.231764793396,212.341581821442,212.345201969147,231.62565779686,231.629645824432,242.148523807526,242.15389585495,253.618235826492,,253.631305932999,253.637902975082,278.393839836121,278.395716905594,287.366423845291,287.368390798569,320.477326869965,326.586942911148,334.650499820709,334.651716947556,338.817427873611,,
146,0.124140977859497,6.50955486297607,6.51235795021057,13.4017260074615,13.4030799865723,22.9431049823761,22.9441978931427,62.2712428569794,62.2727429866791,72.9398069381714,72.9415628910065,88.4135990142822,88.4149949550629,105.177686929703,105.179085016251,111.015758037567,111.016793012619,138.456317901611,138.457314014435,169.013702869415,169.014750003815,203.407335042953,203.410975933075,215.271795034409,215.27548289299,234.916817903519,234.920486927032,250.288712024689,250.292072057724,259.609550952911,259.613579034805,267.191426992416,267.197396039963,276.170979976654,,276.184141874313,276.191911935806,314.925071954727,314.926528930664,325.387888908386,325.389934062958,349.168694972992,357.3602039814,371.628023862839,371.629065990448,374.026505947113,,
179,1.2990140914917,6.35525298118591,6.35808396339417,11.5855848789215,11.5869510173798,22.6349608898163,22.6360509395599,65.3594100475311,65.3607070446014,71.6804850101471,71.6819798946381,86.2653019428253,86.2667000293732,92.4854369163513,92.4869129657745,99.6081919670105,99.6092250347137,119.881017923355,119.881970882416,144.908899068832,144.909893035889,149.381639003754,149.385384082794,160.344674110413,160.348701000214,171.188478946686,171.192162036896,177.61014509201,177.613763093948,186.89638710022,186.900178909302,199.048821926117,199.054426908493,211.706075906754,,211.717664003372,211.723401069641,241.064812898636,241.066535949707,250.688801050186,250.690680027008,275.775613069534,281.104763031006,286.205559968948,286.206648111343,287.962109088898,,
117,0.12470817565918,17.4528751373291,17.4556419849396,26.3055810928345,26.3068280220032,36.1563150882721,36.1574211120605,91.0318331718445,91.0331931114197,105.273375988007,105.274980068207,127.307568073273,127.308968067169,139.10215306282,139.10364818573,151.935806035995,151.936820030212,183.082513093948,183.083534955978,236.410668134689,236.411723136902,316.840636014938,316.844545125961,322.982656955719,322.98627614975,352.606971025467,352.61048412323,371.605918169022,371.609575033188,381.696776151657,381.700859069824,397.302702188492,397.308310031891,424.538738012314,,424.551515102386,424.561136007309,456.075026988983,456.076642036438,467.280053138733,467.282951116562,506.976103067398,514.455933094025,546.691487073898,546.692702054977,556.163614034653,,
169,0.135442972183228,15.8998789787292,15.9046959877014,20.3115539550781,20.3129410743713,31.2861289978027,31.287220954895,62.3709239959717,62.3722639083862,71.8279039859772,71.829509973526,82.9931039810181,82.9945690631866,88.8661000728607,88.8673861026764,99.4123690128326,99.4135100841522,111.925931930542,111.926882982254,120.549659013748,120.55067896843,128.139663934708,128.143748044968,143.741853952408,143.745429992676,156.072956085205,156.076589107513,164.233829021454,164.237730979919,176.547209978104,176.553780078888,191.2732899189,191.278630018234,199.956854104996,,199.969358921051,199.975296974182,225.191747903824,225.193332910538,232.877150058746,232.879034996033,291.263669967651,295.794690132141,320.363440036774,320.364584922791,324.433304071426,,
