RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a2_x1,a2_x2,a2_x3,a3_x1,a3_x2,a3_x3
70,3,3,3,2,1,1,1,3,2,2,1,1,1
70,4,4,4,3,1,1,1,2,1,1,3,2,2
72,5,1,1,3,1,1,1,3,1,2,1,2,4
72,6,2,2,3,1,1,1,1,3,3,2,1,1
72,7,3,3,3,1,1,1,3,3,3,1,2,2
72,8,4,4,3,1,1,1,3,2,3,2,3,4
91,1,1,1,1,1,1,1,1,1,2,2,3,3
91,2,2,2,1,1,1,1,2,2,4,3,1,1
91,3,3,3,3,1,1,1,3,2,2,1,1,1
91,4,4,4,2,1,1,1,2,1,1,3,2,2
103,5,1,1,2,1,1,1,3,1,2,1,2,4
103,6,2,2,2,1,1,1,1,3,3,2,1,1
103,7,3,3,3,1,1,1,3,3,3,1,2,2
103,8,4,4,2,1,1,1,3,2,3,2,3,4
96,1,1,1,3,1,1,1,1,1,2,2,3,3
96,2,2,2,2,1,1,1,2,2,4,3,1,1
96,3,3,3,2,1,1,1,3,2,2,1,1,1
96,4,4,4,2,1,1,1,2,1,1,3,2,2
58,5,1,1,3,1,1,1,3,1,2,1,2,4
58,6,2,2,2,1,1,1,1,3,3,2,1,1
58,7,3,3,2,1,1,1,3,3,3,1,2,2
58,8,4,4,3,1,1,1,3,2,3,2,3,4
114,5,1,1,3,1,1,1,3,1,2,1,2,4
114,6,2,2,2,1,1,1,1,3,3,2,1,1
114,7,3,3,3,1,1,1,3,3,3,1,2,2
114,8,4,4,3,1,1,1,3,2,3,2,3,4
132,1,1,1,2,1,1,1,1,1,2,2,3,3
132,2,2,2,1,1,1,1,2,2,4,3,1,1
132,3,3,3,2,1,1,1,3,2,2,1,1,1
132,4,4,4,1,1,1,1,2,1,1,3,2,2
126,5,1,1,3,1,1,1,3,1,2,1,2,4
126,6,2,2,2,1,1,1,1,3,3,2,1,1
126,7,3,3,2,1,1,1,3,3,3,1,2,2
